SH, 23, 2014040418,   , BEST,   0, 113S, 1559E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1007,  205,  40,   0,   0,   P,   0,   X, 265,   6,  TWENTY-TH, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232014, JTWC, NCEP_TCVITALS, 
SH, 23, 2014040918,   , BEST,   0, 117S, 1487E,  90,  956, XX,  34, NEQ,  110,  125,  130,  105, 1004,  195,  20,   0,   0,   P,   0,   X, 265,   8,        ITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232014, JTWC, NCEP_TCVITALS, 
SH, 23, 2014041000,   , BEST,   0, 121S, 1479E, 100,  948, XX,  34, NEQ,  110,  125,  130,  105, 1006,  185,  20,   0,   0,   P,   0,   X, 255,   8,        ITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232014, JTWC, NCEP_TCVITALS, 
SH, 23, 2014041006,   , BEST,   0, 125S, 1471E, 115,  937, XX,  34, NEQ,  120,  135,  145,  110, 1006,  210,  10,   0,   0,   P,   0,   X, 245,   8,        ITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232014, JTWC, NCEP_TCVITALS, 
SH, 23, 2014041012,   , BEST,   0, 129S, 1464E, 135,  922, XX,  34, NEQ,  130,  145,  155,  120, 1006,  220,  10,   0,   0,   P,   0,   X, 240,   8,        ITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232014, JTWC, NCEP_TCVITALS, 
SH, 23, 2014041018,   , BEST,   0, 133S, 1460E, 135,  922, XX,  34, NEQ,  130,  145,  155,  120, 1004,  215,  12,   0,   0,   P,   0,   X, 235,   7,        ITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232014, JTWC, NCEP_TCVITALS, 
SH, 23, 2014041100,   , BEST,   0, 137S, 1457E, 135,  922, XX,  34, NEQ,  130,  145,  155,  120, 1006,  200,  12,   0,   0,   P,   0,   X, 230,   6,        ITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232014, JTWC, NCEP_TCVITALS, 
SH, 23, 2014041106,   , BEST,   0, 145S, 1454E, 125,  929, XX,  34, NEQ,  120,  130,  125,  110, 1006,  200,  10,   0,   0,   P,   0,   X, 210,   6,        ITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232014, JTWC, NCEP_TCVITALS, 
SH, 23, 2014041112,   , BEST,   0, 149S, 1452E,  90,  956, XX,  34, NEQ,    0,    0,    0,    0, 1006,  180,  10,   0,   0,   P,   0,   X, 205,   6,        ITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232014, JTWC, NCEP_TCVITALS, 
SH, 23, 2014041118,   , BEST,   0, 155S, 1450E,  75,  967, XX,  34, NEQ,  120,  130,  125,  110, 1005,  170,  20,   0,   0,   P,   0,   X, 200,   6,        ITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232014, JTWC, NCEP_TCVITALS, 
SH, 23, 2014041200,   , BEST,   0, 162S, 1450E,  65,  974, XX,  34, NEQ,  120,  130,  125,  110, 1005,  170,  20,   0,   0,   P,   0,   X, 195,   6,        ITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232014, JTWC, NCEP_TCVITALS, 
SH, 23, 2014041206,   , BEST,   0, 167S, 1453E,  50,  985, XX,  34, NEQ,   90,   90,   80,   80, 1004,  170,  20,   0,   0,   P,   0,   X, 175,   6,        ITA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232014, JTWC, NCEP_TCVITALS, 
SH, 23, 2014041212,   , BEST,   0, 171S, 1455E,  45,  989, XX,  34, NEQ,   80,   80,   70,   70, 1004,  150,  20,   0,   0,   P,   0,   X, 165,   6,        ITA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232014, JTWC, NCEP_TCVITALS, 
SH, 23, 2014041218,   , BEST,   0, 178S, 1460E,  45,  989, XX,  34, NEQ,   80,   80,   70,   70, 1006,  160,  25,   0,   0,   P,   0,   X, 150,   6,        ITA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232014, JTWC, NCEP_TCVITALS, 
SH, 23, 2014041300,   , BEST,   0, 190S, 1470E,  45,  989, XX,  34, NEQ,   80,   80,   70,   70, 1006,  160,  25,   0,   0,   P,   0,   X, 145,   9,        ITA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232014, JTWC, NCEP_TCVITALS, 
SH, 23, 2014041306,   , BEST,   0, 201S, 1483E,  45,  989, XX,  34, NEQ,   80,   80,   70,   70, 1005,  155,  20,   0,   0,   P,   0,   X, 140,  13,        ITA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232014, JTWC, NCEP_TCVITALS, 
SH, 23, 2014041312,   , BEST,   0, 208S, 1503E,  50,  985, XX,  34, NEQ,   80,   80,   70,   70, 1007,  160,  20,   0,   0,   P,   0,   X, 125,  17,        ITA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232014, JTWC, NCEP_TCVITALS, 
SH, 23, 2014041318,   , BEST,   0, 222S, 1517E,  45,  989, XX,  34, NEQ,   80,   80,   70,   70, 1007,  160,  20,   0,   0,   P,   0,   X, 125,  18,        ITA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232014, JTWC, NCEP_TCVITALS, 
SH, 23, 2014041400,   , BEST,   0, 226S, 1530E,  40,  993, XX,  34, NEQ,   75,   75,   65,   65, 1007,  160,  25,   0,   0,   P,   0,   X, 120,  17,        ITA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232014, JTWC, NCEP_TCVITALS, 
SH, 23, 2014041406,   , BEST,   0, 237S, 1551E,  40,  993, XX,  34, NEQ,   75,   80,   65,   55, 1007,  180,  35,   0,   0,   P,   0,   X, 120,  18,        ITA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232014, JTWC, NCEP_TCVITALS, 
SH, 23, 2014041412,   , BEST,   0, 246S, 1567E,  40,  993, XX,  34, NEQ,   75,   80,   65,   55, 1009,  180,  40,   0,   0,   P,   0,   X, 120,  17,        ITA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232014, JTWC, NCEP_TCVITALS, 
