WP, 09, 2014071018,   , BEST,   0, 114N, 1495E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1009,  160,  45,   0,   0,   W,   0,   X, 310,  12,       NINE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092014, JTWC, NCEP_TCVITALS, 
WP, 09, 2014071512,   , BEST,   0, 134N, 1233E, 110,  941, XX,  34, NEQ,   80,   80,   85,   85, 1007,  240,  15,   0,   0,   W,   0,   X, 280,  12,   RAMMASUN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092014, JTWC, NCEP_TCVITALS, 
WP, 09, 2014071518,   , BEST,   0, 139N, 1219E, 110,  941, XX,  34, NEQ,    0,    0,    0,    0, 1007,  240,  12,   0,   0,   W,   0,   X, 285,  13,   RAMMASUN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092014, JTWC, NCEP_TCVITALS, 
WP, 09, 2014071600,   , BEST,   0, 142N, 1203E,  90,  956, XX,  34, NEQ,   95,   95,  110,  110, 1006,  200,  20,   0,   0,   W,   0,   X, 285,  15,   RAMMASUN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092014, JTWC, NCEP_TCVITALS, 
WP, 09, 2014071606,   , BEST,   0, 151N, 1191E,  80,  963, XX,  34, NEQ,   90,  100,  110,   95, 1005,  220,  20,   0,   0,   W,   0,   X, 295,  15,   RAMMASUN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092014, JTWC, NCEP_TCVITALS, 
WP, 09, 2014071612,   , BEST,   0, 153N, 1175E,  75,  967, XX,  34, NEQ,   90,  100,  110,   95, 1004,  215,  20,   0,   0,   W,   0,   X, 290,  15,   RAMMASUN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092014, JTWC, NCEP_TCVITALS, 
WP, 09, 2014071618,   , BEST,   0, 158N, 1166E,  80,  963, XX,  34, NEQ,  120,  115,   95,   80, 1004,  215,  20,   0,   0,   W,   0,   X, 295,  13,   RAMMASUN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092014, JTWC, NCEP_TCVITALS, 
WP, 09, 2014071700,   , BEST,   0, 164N, 1158E,  85,  959, XX,  34, NEQ,  120,  100,  100,  120, 1004,  215,  20,   0,   0,   W,   0,   X, 295,  11,   RAMMASUN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092014, JTWC, NCEP_TCVITALS, 
WP, 09, 2014071706,   , BEST,   0, 168N, 1150E,  80,  963, XX,  34, NEQ,  120,  100,  100,  120, 1002,  220,  20,   0,   0,   W,   0,   X, 300,  10,   RAMMASUN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092014, JTWC, NCEP_TCVITALS, 
WP, 09, 2014071712,   , BEST,   0, 175N, 1143E,  95,  952, XX,  34, NEQ,  115,  100,  100,  115, 1001,  200,  12,   0,   0,   W,   0,   X, 305,   9,   RAMMASUN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092014, JTWC, NCEP_TCVITALS, 
WP, 09, 2014071718,   , BEST,   0, 185N, 1134E, 120,  933, XX,  34, NEQ,  115,  100,  100,  115, 1001,  200,  10,   0,   0,   W,   0,   X, 315,  11,   RAMMASUN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092014, JTWC, NCEP_TCVITALS, 
WP, 09, 2014071800,   , BEST,   0, 191N, 1123E, 125,  929, XX,  34, NEQ,  115,  100,  100,  115, 1001,  200,  12,   0,   0,   W,   0,   X, 310,  11,   RAMMASUN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092014, JTWC, NCEP_TCVITALS, 
WP, 09, 2014071806,   , BEST,   0, 199N, 1113E, 135,  922, XX,  34, NEQ,  115,  100,  100,  115, 1001,  220,  17,   0,   0,   W,   0,   X, 310,  12,   RAMMASUN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092014, JTWC, NCEP_TCVITALS, 
WP, 09, 2014071812,   , BEST,   0, 203N, 1103E, 125,  929, XX,  34, NEQ,  115,  100,  100,  115, 1000,  220,  10,   0,   0,   W,   0,   X, 300,  11,   RAMMASUN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092014, JTWC, NCEP_TCVITALS, 
WP, 09, 2014071818,   , BEST,   0, 210N, 1094E, 125,  929, XX,  34, NEQ,  115,  100,  100,  115, 1000,  220,  15,   0,   0,   W,   0,   X, 305,  11,   RAMMASUN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092014, JTWC, NCEP_TCVITALS, 
WP, 09, 2014071900,   , BEST,   0, 219N, 1081E, 100,  948, XX,  34, NEQ,    0,    0,    0,    0, 1000,  205,  15,   0,   0,   W,   0,   X, 305,  12,   RAMMASUN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092014, JTWC, NCEP_TCVITALS, 
WP, 09, 2014071912,   , BEST,   0, 226N, 1062E,  60,  978, XX,  34, NEQ,  115,  100,  100,  115, 1000,  205,  15,   0,   0,   W,   0,   X, 300,  11,   RAMMASUN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092014, JTWC, NCEP_TCVITALS, 
