SH, 09, 2018020900,   , BEST,   0, 138S, 1755W,  40,  992, XX,  34, NEQ,   60,    0,    0,  130,  998,  130,  45,   0,   0,   P,   0,   X,  75,  20,       NINE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092018, JTWC, NCEP_TCVITALS, 
SH, 09, 2018021118,   , BEST,   0, 217S, 1715W,  95,  955, XX,  34, NEQ,  130,  160,  135,  100, 1000,  205,  25,   0,   0,   P,   0,   X, 250,  11,       GITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092018, JTWC, NCEP_TCVITALS, 
SH, 09, 2018021200,   , BEST,   0, 218S, 1726W, 110,  944, XX,  34, NEQ,  100,  145,  130,   80, 1001,  210,  25,   0,   0,   P,   0,   X, 255,  12,       GITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092018, JTWC, NCEP_TCVITALS, 
SH, 09, 2018021206,   , BEST,   0, 218S, 1743W, 125,  929, XX,  34, NEQ,  100,  150,  110,   85,  999,  200,  12,   0,   0,   P,   0,   X, 265,  13,       GITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092018, JTWC, NCEP_TCVITALS, 
SH, 09, 2018021212,   , BEST,   0, 215S, 1755W, 125,  931, XX,  34, NEQ,   85,   95,   90,   70, 1000,  190,   5,   0,   0,   P,   0,   X, 270,  13,       GITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092018, JTWC, NCEP_TCVITALS, 
SH, 09, 2018021218,   , BEST,   0, 213S, 1771W, 125,  930, XX,  34, NEQ,   90,  125,  130,   95, 1000,  210,   5,   0,   0,   P,   0,   X, 275,  14,       GITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092018, JTWC, NCEP_TCVITALS, 
SH, 09, 2018021300,   , BEST,   0, 212S, 1784W, 120,  934, XX,  34, NEQ,  110,  180,  180,  115, 1001,  210,   5,   0,   0,   P,   0,   X, 280,  13,       GITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092018, JTWC, NCEP_TCVITALS, 
SH, 09, 2018021306,   , BEST,   0, 210S, 1795W, 115,  937, XX,  34, NEQ,  125,  200,  190,  135, 1000,  210,   5,   0,   0,   P,   0,   X, 275,  13,       GITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092018, JTWC, NCEP_TCVITALS, 
SH, 09, 2018021312,   , BEST,   0, 211S, 1795E, 110,  943, XX,  34, NEQ,  125,  175,  160,  100, 1001,  210,  12,   0,   0,   P,   0,   X, 275,  11,       GITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092018, JTWC, NCEP_TCVITALS, 
SH, 09, 2018021318,   , BEST,   0, 210S, 1786E, 110,  944, XX,  34, NEQ,  110,  130,  105,   75, 1001,  220,  20,   0,   0,   P,   0,   X, 275,   9,       GITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092018, JTWC, NCEP_TCVITALS, 
SH, 09, 2018021400,   , BEST,   0, 211S, 1777E, 115,  938, XX,  34, NEQ,  125,  160,  155,  110, 1001,  220,  17,   0,   0,   P,   0,   X, 265,   9,       GITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092018, JTWC, NCEP_TCVITALS, 
SH, 09, 2018021406,   , BEST,   0, 213S, 1770E, 115,  937, XX,  34, NEQ,  130,  170,  165,  130, 1001,  220,  15,   0,   0,   P,   0,   X, 260,   8,       GITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092018, JTWC, NCEP_TCVITALS, 
SH, 09, 2018021412,   , BEST,   0, 215S, 1760E, 115,  938, XX,  34, NEQ,  130,  145,  120,  125, 1001,  210,  20,   0,   0,   P,   0,   X, 260,   8,       GITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092018, JTWC, NCEP_TCVITALS, 
SH, 09, 2018021418,   , BEST,   0, 215S, 1753E, 105,  947, XX,  34, NEQ,  135,  150,  135,  120, 1002,  215,  20,   0,   0,   P,   0,   X, 260,   8,       GITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092018, JTWC, NCEP_TCVITALS, 
SH, 09, 2018021500,   , BEST,   0, 215S, 1742E, 105,  948, XX,  34, NEQ,  120,  145,  120,  100, 1002,  215,  35,   0,   0,   P,   0,   X, 265,   9,       GITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092018, JTWC, NCEP_TCVITALS, 
SH, 09, 2018021506,   , BEST,   0, 218S, 1734E, 105,  948, XX,  34, NEQ,  105,  105,  105,  125, 1002,  200,  30,   0,   0,   P,   0,   X, 260,   8,       GITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092018, JTWC, NCEP_TCVITALS, 
SH, 09, 2018021512,   , BEST,   0, 223S, 1722E, 100,  951, XX,  34, NEQ,  130,  170,  155,  120, 1002,  200,  25,   0,   0,   P,   0,   X, 255,  10,       GITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092018, JTWC, NCEP_TCVITALS, 
SH, 09, 2018021518,   , BEST,   0, 226S, 1712E, 100,  949, XX,  34, NEQ,  115,  180,  180,  120, 1001,  200,  25,   0,   0,   P,   0,   X, 250,  10,       GITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092018, JTWC, NCEP_TCVITALS, 
SH, 09, 2018021600,   , BEST,   0, 228S, 1700E,  95,  953, XX,  34, NEQ,  135,  185,  175,  125, 1001,  220,  25,   0,   0,   P,   0,   X, 250,  11,       GITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092018, JTWC, NCEP_TCVITALS, 
SH, 09, 2018021606,   , BEST,   0, 232S, 1690E,  90,  956, XX,  34, NEQ,  120,  185,  170,  130, 1000,  210,  25,   0,   0,   P,   0,   X, 250,  10,       GITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092018, JTWC, NCEP_TCVITALS, 
SH, 09, 2018021612,   , BEST,   0, 235S, 1680E,  80,  963, XX,  34, NEQ,  145,  185,  170,  135, 1001,  210,  30,   0,   0,   P,   0,   X, 250,  10,       GITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092018, JTWC, NCEP_TCVITALS, 
SH, 09, 2018021618,   , BEST,   0, 238S, 1675E,  75,  967, XX,  34, NEQ,  135,  165,  160,  115, 1001,  210,  30,   0,   0,   P,   0,   X, 245,   8,       GITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092018, JTWC, NCEP_TCVITALS, 
SH, 09, 2018021700,   , BEST,   0, 245S, 1664E,  70,  969, XX,  34, NEQ,  150,  175,  160,  125, 1001,  210,  30,   0,   0,   P,   0,   X, 240,   9,       GITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092018, JTWC, NCEP_TCVITALS, 
