WP, 26, 2018090700, 01, CARQ,   0, 123N, 1680E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1008,  135,  35,   0,   0,   W,   0,   X, 275,  13,  TWENTY-SI, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090712, 01, CARQ,   0, 128N, 1655E,  30, 1007, XX,  64, NEQ,    0,    0,    0,    0, 1010,  100,  35,   0,   0,   W,   0,   X, 280,  14,  TWENTY-SI, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090718, 01, CARQ, -18, 123N, 1680E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1008,  135,  35,   0,   0,   W,   0,   X, 275,  13,  TWENTY-SI, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090718, 01, CARQ, -12, 124N, 1667E,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1009,  130,  35,   0,   0,   W,   0,   X, 275,  13,  TWENTY-SI, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090718, 01, CARQ,  -6, 128N, 1655E,  30, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1010,  100,  35,   0,   0,   W,   0,   X, 280,  14,  TWENTY-SI, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090718, 01, CARQ,   0, 130N, 1639E,  35, 1005, XX,  34, NEQ,   90,   75,   75,   90, 1009,  190,  30,   0,   0,   W,   0,   X, 280,  14,   MANGKHUT, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090718, 01, CARQ,   0, 130N, 1639E,  35, 1005, XX,  50, NEQ,    0,    0,    0,    0, 1009,  190,  30,   0,   0,   W,   0,   X, 280,  14,   MANGKHUT, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090718, 01, CARQ,   0, 130N, 1639E,  35, 1005, XX,  64, NEQ,    0,    0,    0,    0, 1009,  190,  30,   0,   0,   W,   0,   X, 280,  14,   MANGKHUT, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090800, 01, CARQ, -24, 123N, 1680E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1008,  135,  35,   0,   0,   W,   0,   X, 275,  13,  TWENTY-SI, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090800, 01, CARQ, -18, 124N, 1667E,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1009,  130,  35,   0,   0,   W,   0,   X, 275,  13,  TWENTY-SI, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090800, 01, CARQ, -12, 128N, 1655E,  30, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1010,  100,  35,   0,   0,   W,   0,   X, 280,  14,  TWENTY-SI, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090800, 01, CARQ,  -6, 130N, 1639E,  35, 1005, XX,  34, NEQ,   90,   75,   75,   90, 1009,  190,  30,   0,   0,   W,   0,   X, 280,  14,   MANGKHUT, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090800, 01, CARQ,   0, 136N, 1623E,  35, 1005, XX,  34, NEQ,   90,   75,   75,   90, 1009,  190,  30,   0,   0,   W,   0,   X, 285,  15,   MANGKHUT, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090800, 01, CARQ,   0, 136N, 1623E,  35, 1005, XX,  50, NEQ,    0,    0,    0,    0, 1009,  190,  30,   0,   0,   W,   0,   X, 285,  15,   MANGKHUT, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090800, 01, CARQ,   0, 136N, 1623E,  35, 1005, XX,  64, NEQ,    0,    0,    0,    0, 1009,  190,  30,   0,   0,   W,   0,   X, 285,  15,   MANGKHUT, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090806, 01, CARQ, -24, 124N, 1667E,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1009,  130,  35,   0,   0,   W,   0,   X, 275,  13,  TWENTY-SI, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090806, 01, CARQ, -18, 128N, 1655E,  30, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1010,  100,  35,   0,   0,   W,   0,   X, 280,  14,  TWENTY-SI, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090806, 01, CARQ, -12, 130N, 1639E,  35, 1005, XX,  34, NEQ,   90,   75,   75,   90, 1009,  190,  30,   0,   0,   W,   0,   X, 280,  14,   MANGKHUT, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090806, 01, CARQ,  -6, 136N, 1623E,  35, 1005, XX,  34, NEQ,   90,   75,   75,   90, 1009,  190,  30,   0,   0,   W,   0,   X, 285,  15,   MANGKHUT, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090806, 01, CARQ,   0, 143N, 1608E,  40,  993, XX,  34, NEQ,   65,   35,   50,  140, 1008,  250,  30,   0,   0,   W,   0,   X, 290,  15,   MANGKHUT, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090806, 01, CARQ,   0, 143N, 1608E,  40,  993, XX,  50, NEQ,    0,    0,    0,    0, 1008,  250,  30,   0,   0,   W,   0,   X, 290,  15,   MANGKHUT, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090806, 01, CARQ,   0, 143N, 1608E,  40,  993, XX,  64, NEQ,    0,    0,    0,    0, 1008,  250,  30,   0,   0,   W,   0,   X, 290,  15,   MANGKHUT, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090812, 01, CARQ, -24, 128N, 1655E,  30, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1010,  100,  35,   0,   0,   W,   0,   X, 280,  14,  TWENTY-SI, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090812, 01, CARQ, -18, 130N, 1639E,  35, 1005, XX,  34, NEQ,   90,   75,   75,   90, 1009,  190,  30,   0,   0,   W,   0,   X, 280,  14,   MANGKHUT, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090812, 01, CARQ, -12, 136N, 1623E,  35, 1005, XX,  34, NEQ,   90,   75,   75,   90, 1009,  190,  30,   0,   0,   W,   0,   X, 285,  15,   MANGKHUT, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090812, 01, CARQ,  -6, 143N, 1608E,  40,  993, XX,  34, NEQ,   65,   35,   50,  140, 1008,  250,  30,   0,   0,   W,   0,   X, 290,  15,   MANGKHUT, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090812, 01, CARQ,   0, 148N, 1591E,  45,  989, XX,  34, NEQ,   85,   45,   45,   95, 1009,  150,  30,   0,   0,   W,   0,   X, 290,  16,   MANGKHUT, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090812, 01, CARQ,   0, 148N, 1591E,  45,  989, XX,  50, NEQ,    0,    0,    0,    0, 1009,  150,  30,   0,   0,   W,   0,   X, 290,  16,   MANGKHUT, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090812, 01, CARQ,   0, 148N, 1591E,  45,  989, XX,  64, NEQ,    0,    0,    0,    0, 1009,  150,  30,   0,   0,   W,   0,   X, 290,  16,   MANGKHUT, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090818, 01, CARQ, -24, 130N, 1639E,  35, 1005, XX,  34, NEQ,   90,   75,   75,   90, 1009,  190,  30,   0,   0,   W,   0,   X, 280,  14,   MANGKHUT, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090818, 01, CARQ, -18, 136N, 1623E,  35, 1005, XX,  34, NEQ,   90,   75,   75,   90, 1009,  190,  30,   0,   0,   W,   0,   X, 285,  15,   MANGKHUT, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090818, 01, CARQ, -12, 143N, 1608E,  40,  993, XX,  34, NEQ,   65,   35,   50,  140, 1008,  250,  30,   0,   0,   W,   0,   X, 290,  15,   MANGKHUT, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090818, 01, CARQ,  -6, 148N, 1591E,  45,  989, XX,  34, NEQ,   85,   45,   45,   95, 1009,  150,  30,   0,   0,   W,   0,   X, 290,  16,   MANGKHUT, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090818, 01, CARQ,   0, 149N, 1570E,  55,  995, XX,  34, NEQ,  100,   75,   75,  100, 1008,  170,  25,   0,   0,   W,   0,   X, 285,  18,   MANGKHUT, D,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090818, 01, CARQ,   0, 149N, 1570E,  55,  995, XX,  50, NEQ,    0,    0,    0,    0, 1008,  170,  25,   0,   0,   W,   0,   X, 285,  18,   MANGKHUT, D,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090818, 01, CARQ,   0, 149N, 1570E,  55,  995, XX,  64, NEQ,    0,    0,    0,    0, 1008,  170,  25,   0,   0,   W,   0,   X, 285,  18,   MANGKHUT, D,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090900, 01, CARQ, -24, 136N, 1623E,  35, 1005, XX,  34, NEQ,   90,   75,   75,   90, 1009,  190,  30,   0,   0,   W,   0,   X, 285,  15,   MANGKHUT, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090900, 01, CARQ, -18, 143N, 1608E,  40,  993, XX,  34, NEQ,   65,   35,   50,  140, 1008,  250,  30,   0,   0,   W,   0,   X, 290,  15,   MANGKHUT, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090900, 01, CARQ, -12, 148N, 1591E,  45,  989, XX,  34, NEQ,   85,   45,   45,   95, 1009,  150,  30,   0,   0,   W,   0,   X, 290,  16,   MANGKHUT, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090900, 01, CARQ,  -6, 149N, 1570E,  55,  995, XX,  34, NEQ,  100,   75,   75,  100, 1008,  170,  25,   0,   0,   W,   0,   X, 285,  18,   MANGKHUT, D,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090900, 01, CARQ,   0, 151N, 1549E,  65,  989, XX,  34, NEQ,  115,   65,   65,  115, 1008,  170,  25,   0,   0,   W,   0,   X, 280,  19,   MANGKHUT, D,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090900, 01, CARQ,   0, 151N, 1549E,  65,  989, XX,  50, NEQ,    0,    0,    0,    0, 1008,  170,  25,   0,   0,   W,   0,   X, 280,  19,   MANGKHUT, D,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090900, 01, CARQ,   0, 151N, 1549E,  65,  989, XX,  64, NEQ,    0,    0,    0,    0, 1008,  170,  25,   0,   0,   W,   0,   X, 280,  19,   MANGKHUT, D,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090906, 01, CARQ, -24, 143N, 1608E,  40,  993, XX,  34, NEQ,   65,   35,   50,  140, 1008,  250,  30,   0,   0,   W,   0,   X, 290,  15,   MANGKHUT, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090906, 01, CARQ, -18, 148N, 1591E,  45,  989, XX,  34, NEQ,   85,   45,   45,   95, 1009,  150,  30,   0,   0,   W,   0,   X, 290,  16,   MANGKHUT, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090906, 01, CARQ, -12, 149N, 1570E,  55,  995, XX,  34, NEQ,  100,   75,   75,  100, 1008,  170,  25,   0,   0,   W,   0,   X, 285,  18,   MANGKHUT, D,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090906, 01, CARQ,  -6, 151N, 1549E,  65,  989, XX,  34, NEQ,  115,   65,   65,  115, 1008,  170,  25,   0,   0,   W,   0,   X, 280,  19,   MANGKHUT, D,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090906, 01, CARQ,   0, 151N, 1529E,  75,  967, XX,  34, NEQ,  110,   60,   70,  110, 1007,  170,  30,   0,   0,   W,   0,   X, 275,  20,   MANGKHUT, D,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090906, 01, CARQ,   0, 151N, 1529E,  75,  967, XX,  50, NEQ,    0,    0,    0,    0, 1007,  170,  30,   0,   0,   W,   0,   X, 275,  20,   MANGKHUT, D,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090906, 01, CARQ,   0, 151N, 1529E,  75,  967, XX,  64, NEQ,    0,    0,    0,    0, 1007,  170,  30,   0,   0,   W,   0,   X, 275,  20,   MANGKHUT, D,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090912, 01, CARQ, -24, 148N, 1591E,  45,  989, XX,  34, NEQ,   85,   45,   45,   95, 1009,  150,  30,   0,   0,   W,   0,   X, 290,  16,   MANGKHUT, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090912, 01, CARQ, -18, 149N, 1570E,  55,  995, XX,  34, NEQ,  100,   75,   75,  100, 1008,  170,  25,   0,   0,   W,   0,   X, 285,  18,   MANGKHUT, D,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090912, 01, CARQ, -12, 151N, 1549E,  65,  989, XX,  34, NEQ,  115,   65,   65,  115, 1008,  170,  25,   0,   0,   W,   0,   X, 280,  19,   MANGKHUT, D,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090912, 01, CARQ,  -6, 151N, 1529E,  75,  967, XX,  34, NEQ,  110,   60,   70,  110, 1007,  170,  30,   0,   0,   W,   0,   X, 275,  20,   MANGKHUT, D,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090912, 01, CARQ,   0, 151N, 1509E,  75,  967, XX,  34, NEQ,  120,   65,   65,  110, 1009,  185,  30,   0,   0,   W,   0,   X, 275,  20,   MANGKHUT, D,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090912, 01, CARQ,   0, 151N, 1509E,  75,  967, XX,  50, NEQ,    0,    0,    0,    0, 1009,  185,  30,   0,   0,   W,   0,   X, 275,  20,   MANGKHUT, D,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090912, 01, CARQ,   0, 151N, 1509E,  75,  967, XX,  64, NEQ,    0,    0,    0,    0, 1009,  185,  30,   0,   0,   W,   0,   X, 275,  20,   MANGKHUT, D,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090918, 01, CARQ, -24, 149N, 1570E,  55,  995, XX,  34, NEQ,  100,   75,   75,  100, 1008,  170,  25,   0,   0,   W,   0,   X, 285,  18,   MANGKHUT, D,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090918, 01, CARQ, -18, 151N, 1549E,  65,  989, XX,  34, NEQ,  115,   65,   65,  115, 1008,  170,  25,   0,   0,   W,   0,   X, 280,  19,   MANGKHUT, D,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090918, 01, CARQ, -12, 151N, 1529E,  75,  967, XX,  34, NEQ,  110,   60,   70,  110, 1007,  170,  30,   0,   0,   W,   0,   X, 275,  20,   MANGKHUT, D,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090918, 01, CARQ,  -6, 151N, 1509E,  75,  967, XX,  34, NEQ,  120,   65,   65,  110, 1009,  185,  30,   0,   0,   W,   0,   X, 275,  20,   MANGKHUT, D,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090918, 01, CARQ,   0, 147N, 1491E,  80,  980, XX,  34, NEQ,  120,   85,   85,  120, 1009,  185,  20,   0,   0,   W,   0,   X, 265,  19,   MANGKHUT, D,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090918, 01, CARQ,   0, 147N, 1491E,  80,  980, XX,  50, NEQ,    0,    0,    0,    0, 1009,  185,  20,   0,   0,   W,   0,   X, 265,  19,   MANGKHUT, D,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090918, 01, CARQ,   0, 147N, 1491E,  80,  980, XX,  64, NEQ,    0,    0,    0,    0, 1009,  185,  20,   0,   0,   W,   0,   X, 265,  19,   MANGKHUT, D,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018091000, 01, CARQ, -24, 151N, 1549E,  65,  989, XX,  34, NEQ,  115,   65,   65,  115, 1008,  170,  25,   0,   0,   W,   0,   X, 280,  19,   MANGKHUT, D,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018091000, 01, CARQ, -18, 151N, 1529E,  75,  967, XX,  34, NEQ,  110,   60,   70,  110, 1007,  170,  30,   0,   0,   W,   0,   X, 275,  20,   MANGKHUT, D,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018091000, 01, CARQ, -12, 151N, 1509E,  75,  967, XX,  34, NEQ,  120,   65,   65,  110, 1009,  185,  30,   0,   0,   W,   0,   X, 275,  20,   MANGKHUT, D,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018091000, 01, CARQ,  -6, 147N, 1491E,  80,  980, XX,  34, NEQ,  120,   85,   85,  120, 1009,  185,  20,   0,   0,   W,   0,   X, 265,  19,   MANGKHUT, D,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018091000, 01, CARQ,   0, 145N, 1474E,  80,  980, XX,  34, NEQ,  125,   85,   85,  125, 1009,  185,  20,   0,   0,   W,   0,   X, 260,  18,   MANGKHUT, D,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018091000, 01, CARQ,   0, 145N, 1474E,  80,  980, XX,  50, NEQ,    0,    0,    0,    0, 1009,  185,  20,   0,   0,   W,   0,   X, 260,  18,   MANGKHUT, D,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018091000, 01, CARQ,   0, 145N, 1474E,  80,  980, XX,  64, NEQ,    0,    0,    0,    0, 1009,  185,  20,   0,   0,   W,   0,   X, 260,  18,   MANGKHUT, D,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018091006, 01, CARQ, -24, 151N, 1529E,  75,  967, XX,  34, NEQ,  110,   60,   70,  110, 1007,  170,  30,   0,   0,   W,   0,   X, 275,  20,   MANGKHUT, D,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018091006, 01, CARQ, -18, 151N, 1509E,  75,  967, XX,  34, NEQ,  120,   65,   65,  110, 1009,  185,  30,   0,   0,   W,   0,   X, 275,  20,   MANGKHUT, D,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018091006, 01, CARQ, -12, 147N, 1491E,  80,  980, XX,  34, NEQ,  120,   85,   85,  120, 1009,  185,  20,   0,   0,   W,   0,   X, 265,  19,   MANGKHUT, D,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018091006, 01, CARQ,  -6, 145N, 1474E,  80,  980, XX,  34, NEQ,  125,   85,   85,  125, 1009,  185,  20,   0,   0,   W,   0,   X, 260,  18,   MANGKHUT, D,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018091006, 01, CARQ,   0, 143N, 1457E,  90,  950, XX,  34, NEQ,  155,   90,  105,  140, 1008,  195,  20,   0,   0,   W,   0,   X, 260,  17,   MANGKHUT, D,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
