SH, 09, 2015012718,   , BEST,   0, 127S, 0633E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1006,  190,  45,   0,   0,   S,   0,   X, 345,   4,       NINE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092015, JTWC, NCEP_TCVITALS, 
SH, 09, 2015013018,   , BEST,   0, 197S, 0690E, 135,  922, XX,  34, NEQ,  140,  130,  135,  140, 1006,  220,   6,   0,   0,   S,   0,   X, 150,   8,     EUNICE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092015, JTWC, NCEP_TCVITALS, 
SH, 09, 2015013100,   , BEST,   0, 201S, 0699E, 130,  926, XX,  34, NEQ,  140,  130,  135,  140, 1006,  220,  12,   0,   0,   S,   0,   X, 135,   8,     EUNICE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092015, JTWC, NCEP_TCVITALS, 
SH, 09, 2015013106,   , BEST,   0, 203S, 0712E, 120,  933, XX,  34, NEQ,  140,  130,  135,  140, 1007,  215,  12,   0,   0,   S,   0,   X, 115,   9,     EUNICE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092015, JTWC, NCEP_TCVITALS, 
SH, 09, 2015013112,   , BEST,   0, 206S, 0725E, 115,  937, XX,  34, NEQ,  115,  140,  135,  120, 1005,  215,  10,   0,   0,   S,   0,   X, 105,  11,     EUNICE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092015, JTWC, NCEP_TCVITALS, 
SH, 09, 2015013118,   , BEST,   0, 207S, 0742E, 100,  948, XX,  34, NEQ,  130,  115,  115,  130, 1005,  210,  15,   0,   0,   S,   0,   X, 100,  14,     EUNICE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092015, JTWC, NCEP_TCVITALS, 
SH, 09, 2015020100,   , BEST,   0, 208S, 0760E,  90,  956, XX,  34, NEQ,  130,  115,  115,  130, 1005,  210,  20,   0,   0,   S,   0,   X,  95,  15,     EUNICE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092015, JTWC, NCEP_TCVITALS, 
SH, 09, 2015020106,   , BEST,   0, 210S, 0780E,  80,  963, XX,  34, NEQ,  130,  140,  130,  100, 1004,  210,  20,   0,   0,   S,   0,   X,  95,  17,     EUNICE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092015, JTWC, NCEP_TCVITALS, 
SH, 09, 2015020112,   , BEST,   0, 217S, 0803E,  80,  963, XX,  34, NEQ,  100,  130,  130,  100, 1002,  210,  20,   0,   0,   S,   0,   X, 100,  19,     EUNICE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092015, JTWC, NCEP_TCVITALS, 
SH, 09, 2015020118,   , BEST,   0, 222S, 0824E,  75,  967, XX,  34, NEQ,  100,  130,  130,  100, 1002,  210,  20,   0,   0,   S,   0,   X, 105,  20,     EUNICE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092015, JTWC, NCEP_TCVITALS, 
SH, 09, 2015020200,   , BEST,   0, 233S, 0853E,  65,  974, XX,  34, NEQ,  100,  130,  130,  100, 1002,  210,  20,   0,   0,   S,   0,   X, 110,  23,     EUNICE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092015, JTWC, NCEP_TCVITALS, 
SH, 09, 2015020206,   , BEST,   0, 255S, 0885E,  65,  974, XX,  34, NEQ,  135,  120,  105,  115, 1000,  210,  25,   0,   0,   S,   0,   X, 120,  29,     EUNICE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092015, JTWC, NCEP_TCVITALS, 
SH, 09, 2015020212,   , BEST,   0, 285S, 0915E,  55,  982, XX,  34, NEQ,  130,  140,  110,  115,  999,  210,  40,   0,   0,   S,   0,   X, 130,  35,     EUNICE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092015, JTWC, NCEP_TCVITALS, 
